Parker Collier,,,,,,,,,
Wrap:,TRUE,,,,,,,,
K(states):,5,,,,,,,,
Radius:,1,,,,,,,,
Quiescence:,TRUE,,,,,,,,
random seed:,1707229040,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Experiment #:,0,,,,,,,,
Rule:,3.24442E+11,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,
,,,,,,,,,
,,,,,,,,,
Experiment #:,8,,,,,,,,
Rule:,1.24323E+11,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,
0,-,,0.992,0.923076923,1.947103939,2.16197818,2.56,chaos,
1,1,,0.968,0.846153846,2.020544066,2.16197818,2.68,chaos,
2,7,,0.824,0.769230769,1.900153301,1.950063756,2.685,chaos,
3,4,,0.704,0.692307692,1.964358301,1.950063756,2.29,chaos,
4,2,,0.656,0.615384615,1.944385769,1.922023143,0.06,repeating,
5,9,,0.576,0.538461538,1.808136819,1.775858948,0.06,repeating,
6,5,,0.432,0.461538462,1.542539828,1.669180337,0.295,repeating,
7,8,,0.312,0.384615385,1.359016791,1.546593564,0.3,repeating,
8,6,,0.16,0.307692308,0.831829202,1.352030102,0,dead,
9,3,,0.08,0.230769231,0.439698838,0.991264261,0,dead,
10,11,,0.056,0.153846154,0.344491046,0.773228349,0,dead,
11,10,,0.008,0.076923077,0.067221545,0.391243564,0,dead,
12,12,,0,0,0,0,0,dead,
,,,,,,,,,
,,,,,,,,,
Experiment #:,9,,,,,,,,
Rule:,1.21241E+11,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,
0,-,,0.992,0.923076923,1.911933444,2.038159682,2.095,chaos,
1,2,,0.944,0.846153846,2.090544115,2.16197818,2.155,chaos,
2,4,,0.824,0.769230769,2.257564364,2.199687795,0.53,chaos,
3,11,,0.8,0.692307692,2.24529542,2.10390991,0.525,chaos,
4,8,,0.68,0.615384615,1.939876539,1.826245258,0.505,chaos,
5,7,,0.536,0.538461538,1.747411956,1.738149333,0.47,chaos,
6,9,,0.456,0.461538462,1.458365335,1.573402452,0.535,chaos,
7,5,,0.312,0.384615385,0.949144169,1.238901257,0.445,chaos,
8,3,,0.232,0.307692308,0.831685582,1.140115679,0.355,chaos,
9,10,,0.184,0.230769231,0.736225241,0.991264261,0.41,chaos,
10,6,,0.032,0.153846154,0.230285571,0.773228349,0.33,chaos,
11,12,,0.024,0.076923077,0.163345543,0.391243564,0.33,chaos,fun
12,1,,0,0,0,0,0,dead,
,,,,,,,,,
,,,,,,,,,
Experiment #:,10,,,,,,,,
Rule:,1.13431E+11,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,
0,-,,0.992,0.923076923,2.00066684,2.199687795,2.945,repeating,
1,5,,0.848,0.846153846,2.299010327,2.295465679,3.025,repeating,
2,7,,0.704,0.769230769,2.10256734,2.23739741,2.925,edge,
3,2,,0.656,0.692307692,2.069917998,2.199687795,2.895,edge,
4,11,,0.632,0.615384615,1.941921374,1.922023143,3.755,repeating,
